,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1,1,1,0.764705882,0.859770115,0.607449857,0.911680912,0.264840183,0.313253012,0.389891697,0.380228137,0.431610942,0.40201005,0.215517241,0.27480916,0.258555133,0.248962656
2,1,1,0.764705882,0.859770115,0.607449857,0.911680912,0.264840183,0.313253012,0.389891697,0.380228137,0.431610942,0.40201005,0.215517241,0.27480916,0.258555133,0.248962656
3,0.764705882,0.764705882,1,0.666666667,0.515759312,0.735042735,0.255707763,0.297188755,0.389891697,0.349809886,0.41337386,0.40201005,0.198275862,0.279898219,0.266159696,0.248962656
4,0.859770115,0.859770115,0.666666667,1,0.551219512,0.776699029,0.207142857,0.258064516,0.343195266,0.327160494,0.38974359,0.409586057,0.273037543,0.264317181,0.240740741,0.21192053
5,0.607449857,0.607449857,0.515759312,0.551219512,1,0.613496933,0.257731959,0.339285714,0.349206349,0.319327731,0.434210526,0.396782842,0.222222222,0.217391304,0.285714286,0.314814815
6,0.911680912,0.911680912,0.735042735,0.776699029,0.613496933,1,0.295918367,0.336283186,0.417322835,0.391666667,0.450980392,0.405333333,0.220095694,0.264864865,0.275,0.275229358
7,0.264840183,0.264840183,0.255707763,0.207142857,0.257731959,0.295918367,1,0.531914894,0.344262295,0.388888889,0.229885057,0.172839506,0.38961039,0.134453782,0.259259259,0.395348837
8,0.313253012,0.313253012,0.297188755,0.258064516,0.339285714,0.336283186,0.531914894,1,0.381578947,0.347826087,0.294117647,0.249084249,0.373831776,0.179104478,0.333333333,0.344827586
9,0.389891697,0.389891697,0.389891697,0.343195266,0.349206349,0.417322835,0.344262295,0.381578947,1,0.819277108,0.370689655,0.325581395,0.266666667,0.22972973,0.301204819,0.347222222
10,0.380228137,0.380228137,0.349809886,0.327160494,0.319327731,0.391666667,0.388888889,0.347826087,0.819277108,1,0.339449541,0.299651568,0.247933884,0.226950355,0.289473684,0.338461538
11,0.431610942,0.431610942,0.41337386,0.38974359,0.434210526,0.450980392,0.229885057,0.294117647,0.370689655,0.339449541,1,0.583569405,0.310160428,0.25862069,0.357798165,0.316326531
12,0.40201005,0.40201005,0.40201005,0.409586057,0.396782842,0.405333333,0.172839506,0.249084249,0.325581395,0.299651568,0.583569405,1,0.203125,0.278177458,0.299651568,0.309433962
13,0.215517241,0.215517241,0.198275862,0.273037543,0.222222222,0.220095694,0.38961039,0.373831776,0.266666667,0.247933884,0.310160428,0.203125,1,0.199203187,0.41322314,0.404040404
14,0.27480916,0.27480916,0.279898219,0.264317181,0.217391304,0.264864865,0.134453782,0.179104478,0.22972973,0.226950355,0.25862069,0.278177458,0.199203187,1,0.290780142,0.230769231
15,0.258555133,0.258555133,0.266159696,0.240740741,0.285714286,0.275,0.259259259,0.333333333,0.301204819,0.289473684,0.357798165,0.299651568,0.41322314,0.290780142,1,0.507692308
16,0.248962656,0.248962656,0.248962656,0.21192053,0.314814815,0.275229358,0.395348837,0.344827586,0.347222222,0.338461538,0.316326531,0.309433962,0.404040404,0.230769231,0.507692308,1
